loan_id,age,annual_income,employment_years,employment_type,credit_score_orig,credit_score_current,score_change,loan_type,loan_amount,outstanding_balance,credit_limit,drawn_balance,undrawn_balance,utilization_rate,remaining_months,interest_rate,debt_to_income,ltv_ratio,collateral_value,num_delinquencies,days_past_due,default_flag,recovery_rate,lgd_true,ead_true,ccf_true,pd_true,stage
LN000059,59,18284.55,10.2,CLT,665,544,-121,Cartao,44008.93,16518.0,30915.89,17409.95,13505.93,0.5631,40,0.4065,0.3794,2.0,4633.71,0,0,0,0.1048,0.8952,25328.74,0.5863,0.020941,2
LN000060,56,85373.21,16.6,CLT,536,444,-92,Imobiliario,500074.48,452148.34,500074.48,452148.34,0.0,0.9042,163,0.1014,2.0,0.7158,631649.21,0,0,0,0.6577,0.3423,452148.34,0.6737,0.084507,1
LN000061,68,29149.09,13.6,CLT,626,539,-87,Pessoal,5854.71,4707.29,5854.71,4707.29,0.0,0.804,38,0.1247,0.0678,2.0,400.88,0,0,0,0.1022,0.8978,4707.29,0.7419,0.031693,1
LN000062,59,68933.34,4.5,CLT,411,370,-41,Imobiliario,165799.52,135368.96,165799.52,135368.96,0.0,0.8165,109,0.0725,0.8248,0.698,193929.34,2,30,1,0.6707,0.3293,135368.96,0.6312,0.59117,3
LN000063,40,38597.65,6.9,Autonomo,343,245,-98,Empresarial,65494.75,42208.89,21618.31,10630.57,10987.74,0.4917,6,0.1836,0.4593,2.0,7698.88,0,0,1,0.3273,0.6727,17256.47,0.603,0.260951,3
LN000064,70,45621.2,18.3,CLT,523,436,-87,Imobiliario,306034.19,197122.09,306034.19,197122.09,0.0,0.6441,269,0.1193,1.8148,0.555,355178.06,0,0,0,0.8308,0.1692,197122.09,0.6535,0.085051,1
LN000065,42,33123.84,13.8,CLT,580,635,55,Veiculos,63671.31,33831.52,63671.31,33831.52,0.0,0.5313,29,0.1135,0.429,0.417,81137.9,0,0,0,0.5774,0.4226,33831.52,0.6789,0.008765,1
LN000066,38,48786.11,27.9,Servidor_Publico,421,418,-3,Cartao,24471.4,18332.73,22578.13,15845.52,6732.61,0.7018,39,0.3899,0.1578,2.0,3764.21,4,15,0,0.0295,0.9705,20100.34,0.632,0.093589,1
LN000067,67,184997.34,12.6,CLT,585,571,-14,Imobiliario,520908.37,211202.61,520908.37,211202.61,0.0,0.4055,138,0.1205,0.4795,0.3417,618063.63,0,0,0,0.6114,0.3886,211202.61,0.6263,0.006824,1
LN000068,40,133290.84,14.1,Autonomo,580,597,17,Empresarial,98411.8,38753.84,16714.2,8949.47,7764.73,0.5354,14,0.3108,0.1221,2.0,8710.55,0,0,0,0.2211,0.7789,14023.49,0.6535,0.012475,1
LN000069,25,68214.42,6.3,Servidor_Publico,641,546,-95,Pessoal,11289.11,6638.01,11289.11,6638.01,0.0,0.588,27,0.2673,0.0409,2.0,2200.45,1,15,0,0.0753,0.9247,6638.01,0.7227,0.02458,1
LN000070,45,53292.92,19.7,CLT,729,741,12,Veiculos,65681.62,24138.28,65681.62,24138.28,0.0,0.3675,16,0.0801,0.1902,0.2994,80628.01,0,0,0,0.4983,0.5017,24138.28,0.6724,0.001446,1
LN000071,61,93782.24,1.8,Autonomo,872,889,17,Imobiliario,192204.6,163865.37,192204.6,163865.37,0.0,0.8526,287,0.1026,0.7339,0.6735,243319.87,1,15,0,0.7043,0.2957,163865.37,0.6003,0.023925,2
LN000072,31,112925.18,11.2,CLT,705,613,-92,Pessoal,25437.66,9948.97,25437.66,9948.97,0.0,0.3911,27,0.3121,0.037,2.0,512.73,0,0,0,0.0956,0.9044,9948.97,0.6794,0.016938,1
LN000073,45,31590.7,14.3,CLT,522,551,29,Pessoal,10778.73,4698.53,10778.73,4698.53,0.0,0.4359,10,0.2656,0.0625,2.0,827.09,0,0,0,0.096,0.904,4698.53,0.5544,0.025141,1
LN000074,28,51516.88,12.1,Servidor_Publico,736,738,2,Veiculos,40567.84,32070.43,40567.84,32070.43,0.0,0.7905,36,0.1338,0.2615,0.6151,52142.06,0,0,0,0.5332,0.4668,32070.43,0.6603,0.001378,1
LN000075,56,16576.27,10.0,Servidor_Publico,832,836,4,Veiculos,48228.53,30970.69,48228.53,30970.69,0.0,0.6422,59,0.1141,0.7847,0.5288,58571.95,3,30,0,0.5215,0.4785,30970.69,0.731,0.055098,2
LN000076,45,112422.16,9.3,CLT,504,613,109,Pessoal,6828.49,4294.15,6828.49,4294.15,0.0,0.6289,35,0.1248,0.016,2.0,241.35,1,60,0,0.1216,0.8784,4294.15,0.7097,0.072744,2
LN000077,38,207371.21,10.2,CLT,511,505,-6,Veiculos,38293.24,20778.4,38293.24,20778.4,0.0,0.5426,79,0.1902,0.0421,0.4247,48920.5,0,0,0,0.607,0.393,20778.4,0.6433,0.007796,1
LN000078,33,57071.13,5.0,Autonomo,465,380,-85,Pessoal,12078.53,5531.09,12078.53,5531.09,0.0,0.4579,11,0.3235,0.0407,2.0,1059.36,0,0,0,0.0997,0.9003,5531.09,0.6869,0.056708,1
LN000079,50,15000.0,12.1,Servidor_Publico,576,570,-6,Veiculos,45031.78,20075.55,45031.78,20075.55,0.0,0.4458,49,0.1409,0.5621,0.3823,52515.33,0,0,0,0.4005,0.5995,20075.55,0.6298,0.007293,1
LN000080,55,80481.2,6.3,CNPJ,698,683,-15,Empresarial,33909.28,16071.48,6151.52,3056.31,3095.21,0.4968,33,0.2108,0.0839,2.0,4310.57,3,15,0,0.2248,0.7752,5325.49,0.7331,0.030441,1
LN000081,69,30101.85,7.1,CNPJ,842,743,-99,Pessoal,18081.43,14793.57,18081.43,14793.57,0.0,0.8182,38,0.2085,0.2064,2.0,459.59,3,30,0,0.0764,0.9236,14793.57,0.6061,0.021444,2
LN000082,43,35200.76,4.6,CNPJ,765,598,-167,Imobiliario,282481.44,177618.88,282481.44,177618.88,0.0,0.6288,357,0.0766,2.0,0.4916,361297.52,0,0,0,0.7622,0.2378,177618.88,0.6573,0.048402,2
LN000083,30,81411.73,42.2,Servidor_Publico,700,680,-20,Empresarial,52898.26,17704.95,13339.41,3862.15,9477.26,0.2895,30,0.2092,0.0913,2.0,5930.73,1,30,0,0.2687,0.7313,8962.48,0.5382,0.009519,2
LN000084,63,63924.64,11.6,CLT,655,710,55,Empresarial,33182.19,20786.72,3430.31,222.24,3208.07,0.0648,24,0.2765,0.1366,2.0,5873.16,0,0,0,0.3128,0.6872,2279.09,0.6411,0.00874,1
LN000085,53,39447.63,4.0,CLT,700,756,56,Empresarial,233278.02,173070.65,3189.03,1864.47,1324.56,0.5847,8,0.1474,1.8427,2.0,36481.75,0,0,0,0.2355,0.7645,2839.79,0.7363,0.070793,1
LN000086,57,35516.63,10.9,CNPJ,708,714,6,Imobiliario,307345.44,219885.94,307345.44,219885.94,0.0,0.7154,209,0.1065,2.0,0.5383,408469.66,0,0,0,0.5441,0.4559,219885.94,0.6336,0.066179,1
LN000087,26,58793.9,19.5,Servidor_Publico,819,921,102,Imobiliario,380656.12,325727.67,380656.12,325727.67,0.0,0.8557,167,0.1141,2.0,0.721,451755.18,1,30,0,0.7639,0.2361,325727.67,0.5749,0.009641,2
LN000088,37,41516.55,12.0,Servidor_Publico,647,645,-2,Imobiliario,461616.12,383040.82,461616.12,383040.82,0.0,0.8298,87,0.1179,2.0,0.5714,670379.13,0,0,0,0.6966,0.3034,383040.82,0.7037,0.026741,1
LN000089,60,26344.0,9.8,CNPJ,684,654,-30,Cartao,19924.5,11214.76,14650.05,3286.48,11363.57,0.2243,16,0.4003,0.1788,2.0,581.79,0,0,0,0.072,0.928,10098.34,0.5994,0.006845,1
LN000090,63,43644.56,6.0,CNPJ,596,596,0,Pessoal,38314.34,21134.12,38314.34,21134.12,0.0,0.5516,27,0.2561,0.2034,2.0,3983.52,0,0,0,0.1808,0.8192,21134.12,0.5382,0.019705,1
LN000091,43,67557.56,12.0,CLT,664,594,-70,Imobiliario,165002.89,58342.92,165002.89,58342.92,0.0,0.3536,191,0.0898,0.3627,0.3042,191796.67,0,0,0,0.5872,0.4128,58342.92,0.6281,0.005254,1
LN000092,62,48253.94,15.6,Autonomo,616,505,-111,Imobiliario,137963.32,78050.38,137963.32,78050.38,0.0,0.5657,242,0.1278,0.6793,0.4026,193882.81,0,0,0,0.734,0.266,78050.38,0.6291,0.134628,2
LN000093,64,21616.66,15.7,Autonomo,495,406,-89,Cartao,5634.98,2477.92,9616.25,703.58,8912.67,0.0732,43,0.2771,0.0481,1.0,29.98,0,0,0,0.1007,0.8993,6859.03,0.6906,0.031972,1
LN000094,41,103042.01,11.3,Autonomo,763,712,-51,Veiculos,26276.65,21360.62,26276.65,21360.62,0.0,0.8129,64,0.1577,0.0871,0.6154,34707.52,0,0,0,0.4843,0.5157,21360.62,0.6646,0.004501,1
LN000095,66,15000.0,11.3,Autonomo,843,892,49,Pessoal,11870.78,7282.04,11870.78,7282.04,0.0,0.6134,45,0.2586,0.2039,2.0,968.77,0,0,0,0.06,0.94,7282.04,0.6951,0.002684,1
LN000096,36,40532.63,21.4,Autonomo,645,521,-124,Imobiliario,220100.05,128887.16,220100.05,128887.16,0.0,0.5856,243,0.1014,1.3355,0.3977,324113.9,0,0,0,0.66,0.34,128887.16,0.5268,0.060878,2
LN000097,33,36202.05,20.1,CLT,693,604,-89,Imobiliario,161522.17,113020.59,161522.17,113020.59,0.0,0.6997,315,0.0797,1.3112,0.4862,232470.7,2,15,0,0.7798,0.2202,113020.59,0.6372,0.096209,2
LN000098,56,59653.99,9.0,CNPJ,762,807,45,Veiculos,56422.23,47979.79,56422.23,47979.79,0.0,0.8504,58,0.1668,0.3378,0.6964,68900.97,0,0,0,0.471,0.529,47979.79,0.64,0.000894,1
LN000099,53,78048.07,26.6,CNPJ,631,589,-42,Imobiliario,177817.83,113337.89,177817.83,113337.89,0.0,0.6374,127,0.0844,0.6099,0.4455,254404.05,3,15,1,0.5905,0.4095,113337.89,0.5937,0.186868,3
LN000100,28,112690.13,4.0,CNPJ,674,644,-30,Imobiliario,375517.1,213191.93,375517.1,213191.93,0.0,0.5677,72,0.086,0.7946,0.4859,438732.68,2,15,0,0.5822,0.4178,213191.93,0.6281,0.158577,2
LN000101,63,34096.05,11.6,Autonomo,621,577,-44,Veiculos,32422.84,31182.56,32422.84,31182.56,0.0,0.9617,56,0.1434,0.3841,0.7446,41878.95,0,0,0,0.5396,0.4604,31182.56,0.7526,0.009332,1
LN000102,31,79322.61,12.3,CLT,578,707,129,Imobiliario,114609.09,109028.34,114609.09,109028.34,0.0,0.9513,153,0.114,0.5773,0.7252,150351.13,0,0,0,0.8537,0.1463,109028.34,0.7329,0.004837,1
LN000103,62,61530.11,5.8,CLT,717,744,27,Empresarial,37143.34,18220.44,5647.43,1913.41,3734.03,0.3388,38,0.1422,0.1244,2.0,5539.49,0,0,0,0.3225,0.6775,4361.46,0.6556,0.010212,1
LN000104,22,17809.72,3.4,CLT,716,719,3,Pessoal,10765.42,5684.0,10765.42,5684.0,0.0,0.528,24,0.3123,0.134,2.0,1486.07,0,0,0,0.1289,0.8711,5684.0,0.6122,0.008005,1
LN000105,61,186344.27,5.9,CLT,769,768,-1,Imobiliario,477245.44,368190.13,477245.44,368190.13,0.0,0.7715,155,0.0605,0.8299,0.6229,591093.75,0,0,0,0.8228,0.1772,368190.13,0.7714,0.020258,1
LN000106,61,21264.54,17.4,CLT,649,664,15,Imobiliario,482356.48,427128.32,482356.48,427128.32,0.0,0.8855,125,0.0803,2.0,0.728,586708.95,1,45,0,0.7766,0.2234,427128.32,0.671,0.088915,2
LN000107,61,71159.08,17.7,CLT,494,617,123,Veiculos,24534.64,19548.09,24534.64,19548.09,0.0,0.7968,81,0.1573,0.1154,0.637,30688.24,0,0,0,0.5522,0.4478,19548.09,0.6321,0.004564,1
LN000108,55,69805.91,15.1,CLT,793,749,-44,Veiculos,51315.83,31297.13,51315.83,31297.13,0.0,0.6099,27,0.1827,0.1883,0.5345,58553.26,0,0,0,0.3669,0.6331,31297.13,0.622,0.001809,1
LN000109,45,64806.68,6.4,CNPJ,554,551,-3,Pessoal,7828.72,2333.53,7828.72,2333.53,0.0,0.2981,46,0.2892,0.0151,2.0,1089.94,1,30,0,0.2747,0.7253,2333.53,0.6252,0.02982,2
LN000110,57,39282.13,17.9,CNPJ,552,539,-13,Cartao,41619.26,27823.73,8141.79,6993.74,1148.05,0.859,32,0.2502,0.2975,2.0,4171.0,0,0,0,0.0624,0.9376,7670.26,0.5893,0.014638,1
LN000111,35,92754.75,6.7,CNPJ,580,632,52,Pessoal,6844.83,3465.82,6844.83,3465.82,0.0,0.5063,34,0.194,0.0157,1.0,7.96,1,30,0,0.1883,0.8117,3465.82,0.5662,0.010667,2
LN000112,61,19648.6,12.1,CLT,423,535,112,Veiculos,38206.71,5035.42,38206.71,5035.42,0.0,0.1318,30,0.1106,0.1076,0.1189,42345.7,0,0,0,0.3991,0.6009,5035.42,0.5631,0.005668,1
LN000113,49,51907.12,10.2,Aposentado,621,561,-60,Imobiliario,620879.32,388472.66,620879.32,388472.66,0.0,0.6257,102,0.0659,2.0,0.4593,845784.06,0,0,0,0.7902,0.2098,388472.66,0.7508,0.049421,1
LN000114,44,37551.98,8.0,CLT,730,748,18,Imobiliario,182972.84,61499.99,182972.84,61499.99,0.0,0.3361,137,0.0994,0.6878,0.2734,224908.39,1,30,0,0.7054,0.2946,61499.99,0.565,0.036073,2
LN000115,47,34883.05,14.7,Servidor_Publico,593,591,-2,Imobiliario,221169.67,129897.45,221169.67,129897.45,0.0,0.5873,271,0.0732,1.564,0.48,270614.11,0,0,0,0.7206,0.2794,129897.45,0.6861,0.022942,1
LN000116,50,71588.24,16.4,Autonomo,823,703,-120,Veiculos,47390.55,23896.7,47390.55,23896.7,0.0,0.5043,28,0.1834,0.1402,0.4015,59522.28,0,0,0,0.5067,0.4933,23896.7,0.605,0.004179,2
